Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1.25e+08
Horizontal Delay,6.25e+08
Sample Interval,125000
Record Length,10000
Gating,0.0% to 98.8900%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Vertical Position,3
,
,
,
Label,
FREQUENCY,"MATH<FFT(CH1, HANNING, LOGRMS)>"
1.1688e+08,-124.125
1.1700e+08,-122.991
1.1713e+08,-123.4
1.1725e+08,-123.806
1.1738e+08,-122.691
1.1750e+08,-121.575
1.1762e+08,-124.416
1.1775e+08,-127.253
1.1788e+08,-127.331
1.1800e+08,-127.409
1.1813e+08,-124.909
1.1825e+08,-122.409
1.1838e+08,-122.106
1.1850e+08,-121.8
1.1863e+08,-121.844
1.1875e+08,-121.888
1.1888e+08,-122.541
1.1900e+08,-123.194
1.1912e+08,-121.809
1.1925e+08,-120.425
1.1938e+08,-120.306
1.1950e+08,-120.184
1.1963e+08,-109.916
1.1975e+08,-99.6438
1.1988e+08,-96.6438
1.2000e+08,-93.6406
1.2013e+08,-97.0188
1.2025e+08,-100.397
1.2038e+08,-110.331
1.2050e+08,-120.263
1.2062e+08,-122.631
1.2075e+08,-124.997
1.2088e+08,-126.078
1.2100e+08,-127.159
1.2112e+08,-124.622
1.2125e+08,-122.081
1.2138e+08,-121.659
1.2150e+08,-121.234
1.2163e+08,-120.662
1.2175e+08,-120.088
